Quantity,Name,Sets,Conditions,Languages,Finishes,Paused,Tags,Offer,Limit
8,Icy Manipulator,10th Edition,NM,EN,N,,,1000,0.01
8,Incinerate,10th Edition,NM,EN,N,,,1000,0.01
8,Joiner Adept,10th Edition,NM,EN,N,,,1000,0.6393181850837326
8,Knight of Dusk,10th Edition,NM,EN,N,,,1000,0.01186377766427641
8,Kraken's Eye,10th Edition,NM,EN,N,,,1000,0.01
8,Lavaborn Muse,10th Edition,NM,EN,N,,,1000,0.0152621810784504
8,Legacy Weapon,10th Edition,NM,EN,N,,,1000,1.1688013243566422
8,Leonin Scimitar,10th Edition,NM,EN,N,,,1000,0.01
8,Llanowar Elves,10th Edition,NM,EN,N,,,1000,0.01
8,Llanowar Sentinel,10th Edition,NM,EN,N,,,1000,0.01
8,Llanowar Wastes,10th Edition,NM,EN,N,,,1000,0.43605634763983475
8,Lord of the Pit,10th Edition,NM,EN,N,,,1000,0.0152621810784504
8,Lord of the Undead,10th Edition,NM,EN,N,,,1000,7.459730769230768
8,Loxodon Warhammer,10th Edition,NM,EN,N,,,1000,0.1652919790285018
8,Loyal Sentry,10th Edition,NM,EN,N,,,1000,0.023469839463603082
8,Manabarbs,10th Edition,NM,EN,N,,,1000,0.05327942560766775
8,March of the Machines,10th Edition,NM,EN,N,,,1000,0.06914211770141043
8,Megrim,10th Edition,NM,EN,N,,,1000,0.01186377766427641
8,Midnight Ritual,10th Edition,NM,EN,N,,,1000,0.0152621810784504
8,Might of Oaks,10th Edition,NM,EN,N,,,1000,0.0152621810784504
8,Millstone,10th Edition,NM,EN,N,,,1000,0.022894463550478576
8,Mind Bend,10th Edition,NM,EN,N,,,1000,0.025054828982004496
8,Mogg Fanatic,10th Edition,NM,EN,N,,,1000,0.01186377766427641
8,Mortal Combat,10th Edition,NM,EN,N,,,1000,0.2788926573979369
8,Mortivore,10th Edition,NM,EN,N,,,1000,0.2916882464451085
8,Pincher Beetles,10th Edition,NM,EN,N,,,1000,0.01
8,Pithing Needle,10th Edition,NM,EN,N,,,1000,1.3599141802903265
8,Platinum Angel,10th Edition,NM,EN,N,,,1000,5.808692307692308
8,Primal Rage,10th Edition,NM,EN,N,,,1000,0.6058561949457627
8,Prodigal Pyromancer,10th Edition,NM,EN,N,,,1000,0.01
8,Puppeteer,10th Edition,NM,EN,N,,,1000,0.01
8,Pyroclasm,10th Edition,NM,EN,N,,,1000,0.01
8,Adarkar Wastes,10th Edition,NM,EN,N,,,1000,6.983211538461538
8,Awakening Zone,Planechase 2012,NM,EN,N,,,1000,0.6356080345313441
8,Beast Within,Planechase 2012,NM,EN,N,,,1000,0.4479857746335188
8,Beetleback Chief,Planechase 2012,NM,EN,N,,,1000,0.01
8,Bloodbraid Elf,Planechase 2012,NM,EN,N,,,1000,0.21433522697965876
8,Etherium-Horn Sorcerer,Planechase 2012,NM,EN,N,,,1000,0.0152621810784504
8,Rain of Tears,10th Edition,NM,EN,N,,,1000,0.010746666395625278
8,Rampant Growth,10th Edition,NM,EN,N,,,1000,0.023469839463603082
8,Recollect,10th Edition,NM,EN,N,,,1000,0.01
8,Reviving Dose,10th Edition,NM,EN,N,,,1000,0.01
8,Reya Dawnbringer,10th Edition,NM,EN,N,,,1000,0.23735658855776046
8,Rhox,10th Edition,NM,EN,N,,,1000,0.023806336703016226
8,Righteousness,10th Edition,NM,EN,N,,,1000,0.012924222225179027
8,Root Maze,10th Edition,NM,EN,N,,,1000,0.4498831023557566
8,Scalpelexis,10th Edition,NM,EN,N,,,1000,0.0152621810784504
8,Scion of the Wild,10th Edition,NM,EN,N,,,1000,0.01
8,Scoria Wurm,10th Edition,NM,EN,N,,,1000,0.0152621810784504
8,Sculpting Steel,10th Edition,NM,EN,N,,,1000,1.3599141802903265
8,Sea Monster,10th Edition,NM,EN,N,,,1000,0.01
8,Seedborn Muse,10th Edition,NM,EN,N,,,1000,7.291942307692307
8,Seismic Assault,10th Edition,NM,EN,N,,,1000,0.03686295162451916
8,Sengir Vampire,10th Edition,NM,EN,N,,,1000,0.010746666395625278
8,Peregrine Drake,Planechase 2012,NM,EN,N,,,1000,0.04293589946386043
8,Angel of Mercy,10th Edition,NM,EN,N,,,1000,0.01
8,Angel's Feather,10th Edition,NM,EN,N,,,1000,0.011767718974193188
8,Angelic Chorus,10th Edition,NM,EN,N,,,1000,0.4498831023557566
8,Angelic Wall,10th Edition,NM,EN,N,,,1000,0.01
8,Cruel Edict,10th Edition,NM,EN,N,,,1000,0.01
8,Deluge,10th Edition,NM,EN,N,,,1000,0.01
8,Demolish,10th Edition,NM,EN,N,,,1000,0.01
8,Serra Angel,10th Edition,NM,EN,N,,,1000,0.038468123751767384
8,Shivan Dragon,10th Edition,NM,EN,N,,,1000,0.03007205256626031
8,Tainted Isle,Planechase 2012,NM,EN,N,,,1000,1.744972407622553
8,Wall of Blossoms,Planechase 2012,NM,EN,N,,,1000,0.013667446741831856
8,Warstorm Surge,Planechase 2012,NM,EN,N,,,1000,0.06647308832103883
8,Whispersilk Cloak,Planechase 2012,NM,EN,N,,,1000,0.3880749975062007
8,Shivan Hellkite,10th Edition,NM,EN,N,,,1000,0.024674534193990974
8,Indrik Umbra,Planechase Anthology,NM,EN,N,,,1000,0.032074218767952085
8,"Ink-Eyes, Servant of Oni",Planechase Anthology,NM,EN,N,,,1000,7.172607879924953
8,Inkfathom Witch,Planechase Anthology,NM,EN,N,,,1000,0.01
8,Shivan Reef,10th Edition,NM,EN,N,,,1000,1.9140696379183288
8,Shock,10th Edition,NM,EN,N,,,1000,0.01
8,Siege-Gang Commander,10th Edition,NM,EN,N,,,1000,0.21209015629915418
8,Skyhunter Patrol,10th Edition,NM,EN,N,,,1000,0.01
8,Skyhunter Prowler,10th Edition,NM,EN,N,,,1000,0.01
8,Skyhunter Skirmisher,10th Edition,NM,EN,N,,,1000,0.01186377766427641
8,Spirit Link,10th Edition,NM,EN,N,,,1000,0.05327942560766775
8,Torture,Shadowmoor,NM,EN,N,,,1000,0.01
8,"Squee, Goblin Nabob",10th Edition,NM,EN,N,,,1000,0.1652919790285018
8,Steel Golem,10th Edition,NM,EN,N,,,1000,0.01186377766427641
8,Story Circle,10th Edition,NM,EN,N,,,1000,0.038468123751767384
8,Stronghold Discipline,10th Edition,NM,EN,N,,,1000,0.01
8,Stun,10th Edition,NM,EN,N,,,1000,0.01
8,Sulfurous Springs,10th Edition,NM,EN,N,,,1000,7.157711538461538
8,Sunken Hope,10th Edition,NM,EN,N,,,1000,0.023469839463603082
8,Sylvan Basilisk,10th Edition,NM,EN,N,,,1000,0.01
8,Sylvan Scrying,10th Edition,NM,EN,N,,,1000,0.038468123751767384
8,Telepathy,10th Edition,NM,EN,N,,,1000,0.014349011087332206
8,Telling Time,10th Edition,NM,EN,N,,,1000,0.01
8,Tempest of Light,10th Edition,NM,EN,N,,,1000,0.010746666395625278
8,Terramorphic Expanse,10th Edition,NM,EN,N,,,1000,0.01
8,Terror,10th Edition,NM,EN,N,,,1000,0.01
8,True Believer,10th Edition,NM,EN,N,,,1000,0.05188207954009854
8,Tundra Wolves,10th Edition,NM,EN,N,,,1000,0.01
8,Twincast,10th Edition,NM,EN,N,,,1000,4.144270477040821
8,"Chandra, Fire of Kaladesh // Chandra, Roaring Flame",Magic Origins,NM,EN,N,,,1000,0.6580107212606855
8,Liliana's Specter,Planechase Anthology,NM,EN,N,,,1000,0.01
8,Maelstrom Wanderer,Planechase Anthology,NM,EN,N,,,1000,8.141361163227018
8,Mammoth Umbra,Planechase Anthology,NM,EN,N,,,1000,0.01
8,Mass Mutiny,Planechase Anthology,NM,EN,N,,,1000,0.0152621810784504
8,Mistblade Shinobi,Planechase Anthology,NM,EN,N,,,1000,0.24589939352253595
8,Mitotic Slime,Planechase Anthology,NM,EN,N,,,1000,0.133354114425648
8,Whispersilk Cloak,10th Edition,NM,EN,N,,,1000,0.2916882464451085
8,"Phoebe, Head of S.N.E.A.K.",Unstable,NM,EN,N,,,1000,0.10639251806588278
8,Steamflogger Boss,Unstable,NM,EN,N,,,1000,0.0152621810784504
8,Sword of Dungeons & Dragons,Unstable,NM,EN,N,,,1000,0.14794246403326436
8,Gather the Pack,Magic Origins,NM,EN,N,,,1000,0.01
8,Peregrine Drake,Planechase Anthology,NM,EN,N,,,1000,0.018404900749874855
8,The Big Idea,Unstable,NM,EN,N,,,1000,0.0152621810784504
8,The Grand Calcutron,Unstable,NM,EN,N,,,1000,0.04108438597863043
8,"Urza, Academy Headmaster",Unstable,NM,EN,N,,,1000,0.696866450878595
8,Beacon of Destruction,10th Edition,NM,EN,N,,,1000,0.024674534193990974
8,Into the Void,Magic Origins,NM,EN,N,,,1000,0.01
8,Three Dreams,Planechase Anthology,NM,EN,N,,,1000,0.15533955103762154
8,Jace's Sanctum,Magic Origins,NM,EN,N,,,1000,0.0152621810784504
8,Throat Slitter,Planechase Anthology,NM,EN,N,,,1000,4.064183395872421
8,Thromok the Insatiable,Planechase Anthology,NM,EN,N,,,1000,0.05050922813829916
8,Inkwell Leviathan,Double Masters,NM,EN,N,,,1000,0.014349011087332206
8,Tormented Soul,Planechase Anthology,NM,EN,N,,,1000,0.01
8,Beacon of Immortality,10th Edition,NM,EN,N,,,1000,0.6393181850837326
8,Beacon of Unrest,10th Edition,NM,EN,N,,,1000,0.1456362988278164
8,Birds of Paradise,10th Edition,NM,EN,N,,,1000,5.050662872690302
8,Blaze,10th Edition,NM,EN,N,,,1000,0.01
8,Bloodfire Colossus,10th Edition,NM,EN,N,,,1000,0.019716094988402558
8,Boomerang,10th Edition,NM,EN,N,,,1000,0.01
8,Brushland,10th Edition,NM,EN,N,,,1000,5.546942307692308
8,Demonic Tutor,Unlimited Edition,NM,EN,N,,,1000,30.887583489681056
8,Lightning Greaves,Double Masters Box Toppers,NM,EN,N,,,1000,8.741798311444652
8,Cephalid Constable,10th Edition,NM,EN,N,,,1000,4.808673076923077
8,Avatar of Hope,Prophecy,NM,EN,N,,,1000,0.038468123751767384
8,Avatar of Might,Prophecy,NM,EN,N,,,1000,0.038468123751767384
8,Avatar of Will,Prophecy,NM,EN,N,,,1000,0.0152621810784504
8,Excavation,Prophecy,NM,EN,N,,,1000,0.01
8,Excise,Prophecy,NM,EN,N,,,1000,0.01
8,Quirion Ranger,Visions,NM,EN,N,,,1000,1.7353989540385928
8,Well of Ideas,Double Masters,NM,EN,N,,,1000,0.0327294824483822
8,Overburden,Prophecy,NM,EN,N,,,1000,6.815423076923078
8,Chimeric Staff,10th Edition,NM,EN,N,,,1000,0.01
8,"Cho-Manno, Revolutionary",10th Edition,NM,EN,N,,,1000,0.038468123751767384
8,Infernal Genesis,Prophecy,NM,EN,N,,,1000,0.012088138260059993
8,Jeweled Spirit,Prophecy,NM,EN,N,,,1000,0.01
8,Jolrael's Favor,Prophecy,NM,EN,N,,,1000,0.01
8,"Jolrael, Empress of Beasts",Prophecy,NM,EN,N,,,1000,0.038468123751767384
8,Chromatic Star,10th Edition,NM,EN,N,,,1000,0.06914211770141043
8,X,Unstable,NM,EN,N,,,1000,0.0152621810784504
8,Citanul Flute,10th Edition,NM,EN,N,,,1000,0.38277530074116767
8,Shadows of the Past,Magic Origins,NM,EN,N,,,1000,0.01
8,Shaman of the Pack,Magic Origins,NM,EN,N,,,1000,0.016872415741257273
8,Mana Vault,Unlimited Edition,NM,EN,N,,,1000,100.0
8,Young Pyromancer,Signature Spellbook: Chandra,NM,EN,N,,,1000,0.020942630747068144
8,Clone,10th Edition,NM,EN,N,,,1000,0.038468123751767384
8,Alaborn Cavalier,Portal Second Age,NM,EN,N,,,1000,0.01
8,Archangel,Portal Second Age,NM,EN,N,,,1000,0.6580107212606855
8,Howling Mine,4th Edition,NM,EN,N,,,1000,1.2633767857901468
8,Hypnotic Specter,4th Edition,NM,EN,N,,,1000,0.06035742850791997
8,Instill Energy,4th Edition,NM,EN,N,,,1000,0.0152621810784504
8,Crucible of Worlds,10th Edition,NM,EN,N,,,1000,27.70173076923077
8,Lure,10th Edition,NM,EN,N,,,1000,0.01
8,Reanimate,Premium Deck Series: Graveborn,NM,EN,N,,,1000,4.051230103730896
8,Serra Angel,4th Edition,NM,EN,N,,,1000,0.0152621810784504
8,Smoke,4th Edition,NM,EN,N,,,1000,0.5322324640065009
8,Flamewave Invoker,10th Edition,NM,EN,N,,,1000,0.01
8,Forbidding Watchtower,10th Edition,NM,EN,N,,,1000,0.024674534193990974
8,Zombie Master,4th Edition,NM,EN,N,,,1000,0.9427927160684931
8,Raksha Golden Cub,Fifth Dawn,NM,EN,N,,,1000,0.038468123751767384
8,Razormane Masticore,Fifth Dawn,NM,EN,N,,,1000,0.013899857176231918
8,Relentless Rats,Fifth Dawn,NM,EN,N,,,1000,0.38866596163489764
8,Gilded Lotus,Dominaria Promos,NM,EN,N,,,1000,0.6580107212606855
8,Gilded Lotus,Dominaria Promos,NM,EN,N,,,1000,0.6580107212606855
8,Helm of the Host,Dominaria Promos,NM,EN,N,,,1000,8.835596153846154
8,Helm of the Host,Dominaria Promos,NM,EN,N,,,1000,4.692699650767516
8,Hinterland Harbor,Dominaria Promos,NM,EN,N,,,1000,6.150980769230769
8,Hinterland Harbor,Dominaria Promos,NM,EN,N,,,1000,1.2633767857901468
8,Feedback Bolt,Fifth Dawn,NM,EN,N,,,1000,0.01
8,Steelshaper's Gift,Fifth Dawn,NM,EN,N,,,1000,16.748499999999996
8,Summoner's Egg,Fifth Dawn,NM,EN,N,,,1000,0.19883636558198733
8,Summoning Station,Fifth Dawn,NM,EN,N,,,1000,0.1652919790285018
8,Tel-Jilad Justice,Fifth Dawn,NM,EN,N,,,1000,0.01
8,Thermal Navigator,Fifth Dawn,NM,EN,N,,,1000,0.01
8,Thought Courier,Fifth Dawn,NM,EN,N,,,1000,0.01
8,Heart of Light,10th Edition,NM,EN,N,,,1000,0.01
8,Winter Orb,Unlimited Edition,NM,EN,N,,,1000,33.61921529080676
8,Trinket Mage,Fifth Dawn,NM,EN,N,,,1000,0.01
8,"Shalai, Voice of Plenty",Dominaria Promos,NM,EN,N,,,1000,3.5603269230769237
8,"Shalai, Voice of Plenty",Dominaria Promos,NM,EN,N,,,1000,1.2633767857901468
8,Abrade,Double Masters,NM,EN,N,,,1000,0.01
8,Academy Ruins,Double Masters,NM,EN,N,,,1000,3.0368269230769234
8,Academy Ruins,Double Masters Box Toppers,NM,EN,N,,,1000,6.8221346153846145
8,Ad Nauseam,Double Masters,NM,EN,N,,,1000,0.6580107212606855
8,Adaptive Automaton,Double Masters,NM,EN,N,,,1000,0.41875079170116014
8,Archangel of Thune,Double Masters,NM,EN,N,,,1000,6.473134615384615
8,Arcum Dagsson,Double Masters,NM,EN,N,,,1000,0.41875079170116014
8,"Arixmethes, Slumbering Isle",Double Masters,NM,EN,N,,,1000,0.5356587482740922
8,Ash Barrens,Double Masters,NM,EN,N,,,1000,0.01
8,"Atraxa, Praetors' Voice",Double Masters,NM,EN,N,,,1000,8.063769230769232
8,"Atraxa, Praetors' Voice",Double Masters Box Toppers,NM,EN,N,,,1000,23.010365384615383
8,Austere Command,Double Masters,NM,EN,N,,,1000,0.02491644707882061
8,"Avacyn, Angel of Hope",Double Masters Box Toppers,NM,EN,N,,,1000,25.61444230769231
8,"Avacyn, Angel of Hope",Double Masters,NM,EN,N,,,1000,14.198115384615383
8,Avenger of Zendikar,Double Masters,NM,EN,N,,,1000,0.5811083773312072
8,Awakening Zone,Double Masters,NM,EN,N,,,1000,0.15533955103762154
8,Baleful Strix,Double Masters,NM,EN,N,,,1000,0.32946982327643476
8,Basalt Monolith,Double Masters,NM,EN,N,,,1000,0.09252544820152676
8,Basilisk Collar,Double Masters,NM,EN,N,,,1000,0.5564268219325833
8,Batterskull,Double Masters,NM,EN,N,,,1000,4.130807692307693
8,Batterskull,Double Masters Box Toppers,NM,EN,N,,,1000,8.28525
8,Blade Splicer,Double Masters,NM,EN,N,,,1000,0.0152621810784504
8,Blasphemous Act,Double Masters,NM,EN,N,,,1000,0.2814306547205422
8,Blightsteel Colossus,Double Masters,NM,EN,N,,,1000,18.902903846153844
8,Blightsteel Colossus,Double Masters Box Toppers,NM,EN,N,,,1000,25.607730769230773
8,Blood Moon,Double Masters,NM,EN,N,,,1000,4.305307692307693
8,Blood Moon,Double Masters Box Toppers,NM,EN,N,,,1000,10.177903846153846
8,Boon Reflection,Double Masters,NM,EN,N,,,1000,0.09252544820152676
8,"Braids, Conjurer Adept",Double Masters,NM,EN,N,,,1000,0.0152621810784504
8,Brainstorm,Double Masters Box Toppers,NM,EN,N,,,1000,4.808673076923077
8,Brainstorm,Double Masters,NM,EN,N,,,1000,0.0220348909573313
8,"Breya, Etherium Shaper",Double Masters,NM,EN,N,,,1000,0.801770278045544
8,"Brudiclad, Telchor Engineer",Double Masters,NM,EN,N,,,1000,0.03883237021943068
8,Buried Ruin,Double Masters,NM,EN,N,,,1000,0.016872415741257273
8,Cascade Bluffs,Double Masters,NM,EN,N,,,1000,1.4137451885387955
8,Piracy,Portal Second Age,NM,EN,N,,,1000,16.458757973733583
8,Champion of Lambholt,Double Masters,NM,EN,N,,,1000,0.05050922813829916
8,Chief of the Foundry,Double Masters,NM,EN,N,,,1000,0.01
8,Chord of Calling,Double Masters,NM,EN,N,,,1000,0.41875079170116014
8,Chromatic Star,Double Masters,NM,EN,N,,,1000,0.01065763479433836
8,Chrome Mox,Double Masters,NM,EN,N,,,1000,22.258673076923078
8,Chrome Mox,Double Masters Box Toppers,NM,EN,N,,,1000,30.3058076923077
8,Pox,5th Edition,NM,EN,N,,,1000,2.4946655722326456
8,Council's Judgment,Double Masters,NM,EN,N,,,1000,0.07063744248795638
8,Council's Judgment,Double Masters Box Toppers,NM,EN,N,,,1000,1.2063780902003012
8,High Ground,10th Edition,NM,EN,N,,,1000,0.01
8,Cranial Plating,Double Masters,NM,EN,N,,,1000,0.01
8,Urza's Avenger,5th Edition,NM,EN,N,,,1000,0.023469839463603082
8,Crop Rotation,Double Masters,NM,EN,N,,,1000,0.023469839463603082
8,Crop Rotation,Double Masters Box Toppers,NM,EN,N,,,1000,4.4295801484267106
8,Cyclonic Rift,Double Masters Box Toppers,NM,EN,N,,,1000,18.231749999999998
8,Cyclonic Rift,Double Masters,NM,EN,N,,,1000,12.546258442776733
8,Dark Confidant,Double Masters Box Toppers,NM,EN,N,,,1000,19.902923076923074
8,Dark Confidant,Double Masters,NM,EN,N,,,1000,14.204826923076919
8,Dark Depths,Double Masters,NM,EN,N,,,1000,8.486596153846154
8,Darksteel Citadel,Double Masters,NM,EN,N,,,1000,0.01186377766427641
8,Darksteel Forge,Double Masters,NM,EN,N,,,1000,5.479826923076923
8,Death's Shadow,Double Masters,NM,EN,N,,,1000,0.41875079170116014
8,Deathreap Ritual,Double Masters,NM,EN,N,,,1000,0.01
8,Deepglow Skate,Double Masters,NM,EN,N,,,1000,0.09252544820152676
8,Disciple of Bolas,Double Masters,NM,EN,N,,,1000,0.0152621810784504
8,Doubling Season,Double Masters,NM,EN,N,,,1000,25.91719817073171
8,Duplicant,Double Masters,NM,EN,N,,,1000,0.0152621810784504
8,Untamed Wilds,Portal Second Age,NM,EN,N,,,1000,0.01
8,Vhati il-Dal,Tempest,NM,EN,N,,,1000,0.24820271930971924
8,Volrath's Curse,Tempest,NM,EN,N,,,1000,0.01
8,Warmth,Tempest,NM,EN,N,,,1000,0.01
8,Wasteland,Tempest,NM,EN,N,,,1000,16.380713816902592
8,Watchdog,Tempest,NM,EN,N,,,1000,0.01
8,Whim of Volrath,Tempest,NM,EN,N,,,1000,5.442176829268292
8,Whispers of the Muse,Tempest,NM,EN,N,,,1000,0.01
8,Winds of Rath,Tempest,NM,EN,N,,,1000,0.1456362988278164
8,Winged Sliver,Tempest,NM,EN,N,,,1000,0.01
8,Endless Atlas,Double Masters,NM,EN,N,,,1000,0.1693431640550903
8,"Kamahl, Pit Fighter",10th Edition,NM,EN,N,,,1000,0.014349011087332206
8,Karplusan Forest,10th Edition,NM,EN,N,,,1000,3.038673700916473
8,Engineered Explosives,Double Masters,NM,EN,N,,,1000,0.33717180156690474
8,Flash,Masters 25,NM,EN,N,,,1000,0.0152621810784504
8,Ensnaring Bridge,Double Masters,NM,EN,N,,,1000,8.157730769230769
8,Ethersworn Canonist,Double Masters,NM,EN,N,,,1000,0.2814306547205422
8,Abyssal Horror,7th Edition,NM,EN,N,,,1000,0.023469839463603082
8,Garruk Wildspeaker,Duels of the Planeswalkers 2009 Promos,NM,EN,N,,,1000,3.383917265635056
8,Expedition Map,Double Masters,NM,EN,N,,,1000,0.04108438597863043
8,Expedition Map,Double Masters Box Toppers,NM,EN,N,,,1000,5.6878846153846165
8,Exploration,Double Masters Box Toppers,NM,EN,N,,,1000,15.99009615384615
8,Falkenrath Aristocrat,Double Masters,NM,EN,N,,,1000,0.0152621810784504
8,Fatal Push,Double Masters Box Toppers,NM,EN,N,,,1000,4.845472574804924
8,Fatal Push,Double Masters,NM,EN,N,,,1000,0.02686347316854161
8,Transcendence,Torment,NM,EN,N,,,1000,0.06914211770141043
8,Turbulent Dreams,Torment,NM,EN,N,,,1000,0.04108438597863043
8,Vengeful Dreams,Torment,NM,EN,N,,,1000,0.024674534193990974
8,Fetid Heath,Double Masters,NM,EN,N,,,1000,1.9882370285630553
8,Fire-Lit Thicket,Double Masters,NM,EN,N,,,1000,1.4334375396489578
8,Flooded Grove,Double Masters,NM,EN,N,,,1000,2.9495769230769238
8,Force of Will,Double Masters Box Toppers,NM,EN,N,,,1000,92.75196153846156
8,Force of Will,Double Masters,NM,EN,N,,,1000,58.44257692307693
8,Fulminator Mage,Double Masters,NM,EN,N,,,1000,0.05636679884345502
8,Galvanic Blast,Double Masters,NM,EN,N,,,1000,0.01
8,Geist of Saint Traft,Double Masters,NM,EN,N,,,1000,0.2743508494121503
8,Gelatinous Genesis,Double Masters,NM,EN,N,,,1000,0.01
8,"Geth, Lord of the Vault",Double Masters,NM,EN,N,,,1000,0.05636679884345502
8,Glimmervoid,Double Masters,NM,EN,N,,,1000,0.07426290666930066
8,Karplusan Strider,10th Edition,NM,EN,N,,,1000,0.01
8,Goblin Guide,Double Masters,NM,EN,N,,,1000,0.6845730407234264
8,Goblin Guide,Double Masters Box Toppers,NM,EN,N,,,1000,4.130807692307693
8,"Godo, Bandit Warlord",Double Masters,NM,EN,N,,,1000,0.06237861992518781
8,Golem-Skin Gauntlets,Double Masters,NM,EN,N,,,1000,0.01
8,Grand Architect,Double Masters,NM,EN,N,,,1000,0.04935606291399033
8,Graven Cairns,Double Masters,NM,EN,N,,,1000,0.8239656736532658
8,Greater Good,Double Masters,NM,EN,N,,,1000,0.5811083773312072
8,Static Orb,7th Edition,NM,EN,N,,,1000,11.453096153846152
8,Kaervek the Merciless,Time Spiral,NM,EN,N,,,1000,8.81546153846154
8,Telepathy,7th Edition,NM,EN,N,,,1000,0.0152621810784504
8,Goblin King,10th Edition,NM,EN,N,,,1000,3.5776330630713455
8,"Tamiyo, Field Researcher",Eldritch Moon Promos,NM,EN,N,,,1000,1.96555781935255
8,Angelic Page,8th Edition,NM,EN,N,,,1000,0.01
8,Mind Stone,10th Edition,NM,EN,N,,,1000,0.1652919790285018
8,Grim Lavamancer,Double Masters,NM,EN,N,,,1000,0.028584276472443423
8,Hammer of Nazahn,Double Masters,NM,EN,N,,,1000,4.808673076923077
8,"Hanna, Ship's Navigator",Double Masters,NM,EN,N,,,1000,0.06512007976254945
8,Heartbeat of Spring,Double Masters,NM,EN,N,,,1000,0.1838404771583351
8,Heat Shimmer,Double Masters,NM,EN,N,,,1000,0.0152621810784504
8,High Market,Double Masters,NM,EN,N,,,1000,0.1418243046782986
8,Imperial Recruiter,Double Masters,NM,EN,N,,,1000,11.520211538461538
8,Izzet Charm,Double Masters,NM,EN,N,,,1000,0.01
8,"Jace, the Mind Sculptor",Double Masters Box Toppers,NM,EN,N,,,1000,37.60996153846154
8,"Jace, the Mind Sculptor",Double Masters,NM,EN,N,,,1000,28.2990576923077
8,Jhoira's Familiar,Double Masters,NM,EN,N,,,1000,0.01
